datetime,open,high,low,close,volume,stock_code,exchange_code
2023-03-31,17210.35,17381.3,17209.45,17356.85,28028030,NIFTY,NSE
2023-04-03,17427.95,17427.95,17312.9,17399.7,28926491,NIFTY,NSE
2023-04-05,17422.3,17570.0,17412.15,17561.0,25978177,NIFTY,NSE
2023-04-06,17533.85,17638.7,17503.6,17602.0,27587250,NIFTY,NSE
2023-04-10,17634.9,17694.1,17598.25,17613.05,29241379,NIFTY,NSE
2023-04-11,17704.8,17748.6,17655.3,17722.25,34566143,NIFTY,NSE
2023-04-12,17759.55,17824.3,17717.8,17817.9,27240843,NIFTY,NSE
2023-04-13,17807.3,17841.5,17729.65,17828.15,30342759,NIFTY,NSE
2023-04-17,17863.0,17863.0,17574.35,17704.1,32959636,NIFTY,NSE
2023-04-18,17766.6,17766.6,17610.75,17661.55,27636642,NIFTY,NSE
2023-04-19,17653.35,17666.15,17580.0,17610.2,29153611,NIFTY,NSE
2023-04-20,17638.6,17683.75,17584.5,17623.9,28151569,NIFTY,NSE
2023-04-21,17639.75,17662.5,17553.95,17618.9,25214349,NIFTY,NSE
2023-10-04,19446.3,19452.15,19334.55,19446.15,0,NIFTY,NSE
2023-10-05,19521.85,19576.45,19487.95,19546.6,0,NIFTY,NSE
2023-10-06,19621.2,19674.9,19589.7,19649.9,0,NIFTY,NSE
2023-10-09,19539.45,19588.6,19480.9,19497.5,0,NIFTY,NSE
2023-10-10,19565.6,19717.1,19565.6,19691.5,0,NIFTY,NSE
2023-10-11,19767.0,19838.9,19762.45,19808.5,0,NIFTY,NSE
2023-10-12,19822.7,19841.8,19773.65,19782.9,0,NIFTY,NSE
2023-10-13,19654.55,19804.9,19648.7,19733.75,0,NIFTY,NSE
2023-10-16,19737.25,19781.2,19691.95,19730.95,0,NIFTY,NSE
2023-10-17,19843.2,19848.05,19775.85,19818.35,0,NIFTY,NSE
2023-10-18,19820.45,19840.2,19660.6,19668.45,0,NIFTY,NSE
2023-10-19,19545.2,19681.75,19513.35,19611.9,0,NIFTY,NSE
2023-10-20,19542.15,19593.65,19520.0,19541.75,0,NIFTY,NSE
2024-03-28,22163.6,22513.2,22163.6,22343.1,0,NIFTY,NSE
2024-04-01,22455.0,22529.1,22427.85,22469.05,0,NIFTY,NSE
2024-04-02,22458.8,22496.9,22389.15,22464.3,0,NIFTY,NSE
2024-04-03,22385.7,22520.9,22347.8,22445.55,0,NIFTY,NSE
2024-04-04,22592.1,22603.6,22307.45,22541.2,0,NIFTY,NSE
2024-04-05,22486.4,22536.6,22429.0,22523.4,0,NIFTY,NSE
2024-04-08,22578.35,22696.95,22550.35,22661.0,0,NIFTY,NSE
2024-04-09,22765.1,22768.35,22613.15,22642.05,0,NIFTY,NSE
2024-04-10,22720.25,22775.7,22674.55,22732.85,0,NIFTY,NSE
2024-04-12,22677.4,22726.15,22503.85,22519.4,0,NIFTY,NSE
2024-04-15,22339.05,22426.55,22260.1,22277.45,0,NIFTY,NSE
2024-04-16,22125.3,22213.5,22079.7,22177.45,0,NIFTY,NSE
2024-04-18,22212.35,22326.25,21962.0,22045.75,43924105,NIFTY,NSE
2024-04-19,21861.5,22179.3,21777.65,22149.7,53820247,,NSE
2024-04-22,22336.9,22375.25,22198.35,22365.45,0,,NSE
2024-04-23,22447.05,22447.05,22350.15,22361.0,0,,NSE
2024-04-24,22421.55,22475.9,22384.8,22412.2,0,,NSE
2024-04-25,22316.9,22624.75,22308.3,22559.25,0,,NSE
2024-04-26,22620.4,22620.4,22386.0,22450.2,0,,NSE
2024-04-29,22475.55,22655.65,22442.05,22633.15,0,,NSE
2024-04-30,22679.65,22782.95,22568.95,22587.75,0,,NSE
2024-05-14,22230.75,22269.95,22195.4,22223.8,0,,NSE
2024-05-15,22255.6,22297.5,22152.35,22210.4,0,,NSE
2024-05-16,22319.2,22430.8,22054.9,22392.35,0,,NSE
2024-05-17,22415.25,22501.25,22346.1,22465.55,0,,NSE
2024-05-18,22512.85,22520.0,22037.4,22502.0,0,,NSE
2024-05-21,22404.55,22590.75,22404.55,22507.55,0,,NSE
2024-05-22,22576.6,22627.3,22483.45,22620.5,0,,NSE
2024-05-23,22614.1,22993.4,22577.45,22951.0,0,,NSE
2024-05-24,22930.75,23025.15,22908.25,22952.0,0,,NSE
2024-05-27,23038.95,23110.65,22871.6,22931.05,0,,NSE
2024-05-28,22977.15,22998.3,22858.9,22868.65,0,,NSE
2024-05-29,22762.75,22825.5,22686.05,22705.8,0,,NSE
2024-05-30,22617.45,22704.85,22417.8,22557.1,0,,NSE
2024-05-31,22568.1,22652.8,22465.9,22547.95,0,,NSE
2024-06-11,23283.75,23389.2,23207.2,23261.8,0,,NSE
2024-06-12,23344.45,23441.7,23296.9,23308.4,0,,NSE
2024-06-13,23480.95,23480.95,23353.9,23399.35,0,,NSE
2024-06-14,23464.95,23490.1,23335.15,23454.15,0,,NSE
2024-06-18,23570.8,23578.0,23500.4,23562.3,0,,NSE
2024-06-19,23629.85,23663.6,23413.2,23521.4,0,,NSE
2024-06-20,23586.15,23623.95,23442.7,23579.15,0,,NSE
2024-06-21,23661.15,23664.95,23399.5,23453.15,0,,NSE
2024-06-24,23382.3,23557.75,23350.0,23548.65,0,,NSE
2024-06-25,23577.1,23753.5,23562.2,23721.9,0,,NSE
2024-06-26,23723.1,23889.65,23671.35,23840.25,0,,NSE
2024-06-27,23881.55,24086.35,23806.1,24036.1,0,,NSE
2024-06-28,24085.9,24172.45,23986.1,24009.8,0,,NSE
2024-07-12,24387.95,24591.95,24332.5,24512.4,0,,NSE
2024-07-15,24587.6,24634.85,24523.7,24588.35,0,,NSE
2024-07-16,24615.9,24661.05,24588.3,24601.1,0,,NSE
2024-07-18,24543.8,24837.5,24505.25,24779.35,0,,NSE
2024-07-19,24853.8,24853.8,24509.25,24525.85,0,,NSE
2024-07-22,24445.75,24594.4,24363.85,24515.9,0,,NSE
2024-07-23,24568.9,24580.95,24076.25,24476.4,0,,NSE
2024-07-24,24444.95,24503.25,24307.95,24441.9,0,,NSE
2024-07-25,24230.95,24425.1,24212.3,24415.0,0,,NSE
2024-07-26,24423.35,24860.05,24415.15,24851.75,0,,NSE
2024-07-29,24943.3,24998.55,24774.9,24840.95,0,,NSE
2024-07-30,24839.4,24971.75,24803.15,24840.9,0,,NSE
2024-07-31,24886.7,24983.3,24857.35,24979.3,0,,NSE
2024-08-13,24342.35,24358.0,24117.2,24141.2,0,,NSE
2024-08-14,24184.4,24194.35,24100.15,24143.7,0,,NSE
2024-08-16,24334.85,24563.45,24205.2,24539.2,0,,NSE
2024-08-19,24636.35,24638.25,24523.55,24579.0,0,,NSE
2024-08-20,24648.9,24734.15,24607.5,24672.85,0,,NSE
2024-08-21,24680.55,24786.2,24655.45,24780.15,0,,NSE
2024-08-22,24863.4,24866.25,24785.0,24810.9,0,,NSE
2024-08-23,24845.4,24853.75,24771.8,24831.85,0,,NSE
2024-08-26,24906.1,25043.65,24874.95,25011.45,0,,NSE
2024-08-27,25024.8,25073.05,24973.9,24997.05,0,,NSE
2024-08-28,25030.8,25128.1,24964.85,25044.85,0,,NSE
