type,price,datetime,timeframe,candle_idx,retracement_pct,num_hits,num_reversals,strength_score,strength
resistance,25422.4,2024-09-16 14:15:00,1h,727,0.14160740134684371,14,5,70.28,Very Strong
resistance,25452.75,2025-10-16 10:00:00,15m,2083,0.11511526259441228,0,0,0.23,Weak
resistance,25481.65,2024-09-18 12:15:00,1h,739,0.42089111183930394,20,7,70.84,Very Strong
resistance,25518.85,2025-10-16 12:45:00,15m,2094,0.05878007825587753,0,0,0.12,Weak
resistance,25611.1,2024-09-19 10:15:00,1h,744,0.4101737137413046,13,6,70.82,Very Strong
resistance,25638.65,2024-10-03 10:15:00,1h,807,0.5721830127561347,10,5,71.14,Very Strong
resistance,25705.2,2025-10-17 13:30:00,15m,2123,0.16339106484291116,0,0,0.33,Weak
resistance,25751.7,2025-10-17 15:15:00,1h,1085,0.18251222249404894,15,4,70.37,Very Strong
resistance,25780.95,2025-10-17 12:15:00,1h,1082,0.4352050642043863,9,5,70.87,Very Strong
resistance,25822.6,2024-10-01 14:15:00,1h,804,0.1337975261979788,49,6,70.27,Very Strong
resistance,25854.9,2024-09-30 15:00:00,15m,1064,0.16495905998476673,42,5,70.33,Very Strong
resistance,25884.15,2025-10-20 14:15:00,15m,2152,0.2588456642385398,7,2,55.52,Strong
resistance,25910.25,2025-10-20 13:15:00,1h,1090,0.1898862419312848,17,8,70.38,Very Strong
resistance,25955.85,2024-09-23 15:15:00,1h,763,0.09901428772318029,11,7,70.2,Very Strong
resistance,25994.95,2024-09-30 10:30:00,15m,1046,0.09578783571425009,4,3,50.19,Strong
resistance,26031.8,2024-09-25 15:15:00,1h,777,0.07029863474673004,13,4,70.14,Very Strong
resistance,26079.3,2025-10-23 13:15:00,15m,2200,0.12116889640442245,0,0,0.24,Weak
resistance,26111.25,2024-09-26 12:15:00,1h,781,0.07448896548422894,13,7,70.15,Very Strong
resistance,26152.95,2025-10-23 00:00:00,1d,158,1.0807576200772817,2,2,32.16,Moderate
resistance,26206.8,2024-09-27 15:15:00,15m,1039,0.12134255231466365,0,0,0.24,Weak
resistance,26249.4,2024-09-27 12:30:00,15m,1028,0.13486022537658557,0,0,0.27,Weak
resistance,26277.15,2024-09-27 00:00:00,1d,113,0.3887407880991715,13,5,70.78,Very Strong
