type,price,datetime,prev_candle_idx,curr_candle_idx,prev_high,curr_high,prev_close,curr_close,retracement_pct,num_hits,num_reversals,strength_score,strength
resistance,22424.9,2025-04-09 10:30:00,1617,1618,22424.9,22403.1,22398.2,22386.6,0.17079228892883763,17,6,70.34,Very Strong
resistance,24679.0,2025-09-30 10:00:00,1797,1798,24667.95,24679.0,24659.95,24636.7,0.1714007860934368,17,8,70.34,Very Strong
resistance,17353.75,2023-04-03 11:00:00,33,34,17353.75,17344.85,17338.85,17324.3,0.1697039544767023,9,3,70.34,Very Strong
resistance,22720.05,2024-04-10 11:15:00,892,893,22720.05,22707.45,22706.3,22681.95,0.16769329292848628,12,3,70.34,Very Strong
resistance,25854.9,2024-09-30 15:00:00,1063,1064,25854.9,25848.05,25842.95,25812.25,0.16495905998476673,44,8,70.33,Very Strong
resistance,25286.5,2024-10-03 14:15:00,1112,1113,25286.5,25276.05,25276.55,25244.8,0.16491012991122034,32,6,70.33,Very Strong
resistance,25028.3,2024-10-11 10:15:00,1252,1253,25028.3,25024.35,25022.25,24988.85,0.1576215723800687,32,3,70.32,Very Strong
resistance,19588.6,2023-10-09 10:30:00,421,422,19588.6,19578.65,19575.15,19556.95,0.16157356829991842,19,5,70.32,Very Strong
resistance,22520.9,2024-04-03 13:00:00,769,770,22520.9,22504.95,22502.75,22485.3,0.15807538775094326,30,5,70.32,Very Strong
resistance,25299.05,2025-10-10 10:30:00,1981,1982,25299.05,25287.45,25276.2,25258.7,0.1594921548437532,28,5,70.32,Very Strong
resistance,24822.35,2025-10-03 10:30:00,1851,1852,24812.75,24822.35,24812.6,24782.85,0.15913078334645997,14,4,70.32,Very Strong
resistance,22410.2,2025-04-09 11:00:00,1619,1620,22410.2,22394.6,22393.55,22374.55,0.1590793477969918,10,3,70.32,Very Strong
resistance,23280.65,2025-04-03 09:30:00,1509,1510,23263.0,23280.65,23251.2,23244.8,0.15399054579662588,20,5,70.31,Very Strong
resistance,25159.6,2024-10-14 12:15:00,1286,1287,25159.6,25157.6,25154.6,25120.75,0.1544142196219278,60,6,70.31,Very Strong
resistance,23730.0,2025-03-25 12:00:00,1363,1364,23710.05,23730.0,23710.05,23693.15,0.15528866413821554,9,5,70.31,Very Strong
resistance,22450.3,2024-04-04 10:30:00,785,786,22450.3,22437.1,22419.9,22415.3,0.15589992115918272,22,4,70.31,Very Strong
resistance,22508.75,2024-04-03 13:45:00,772,773,22508.75,22501.15,22496.0,22474.15,0.1537179985561106,33,5,70.31,Very Strong
resistance,22173.2,2024-04-16 12:15:00,974,975,22171.4,22173.2,22169.75,22139.75,0.15085779228979457,11,4,70.3,Very Strong
resistance,25838.85,2024-10-01 12:15:00,1078,1079,25837.85,25838.85,25822.95,25800.25,0.14938745338898032,35,4,70.3,Very Strong
resistance,25092.0,2025-09-25 09:30:00,1717,1718,25092.0,25082.6,25058.7,25054.0,0.1514426908974972,28,5,70.3,Very Strong
resistance,17694.1,2023-04-10 13:00:00,119,120,17694.1,17689.45,17686.15,17667.5,0.1503325967412784,36,4,70.3,Very Strong
resistance,24999.65,2025-09-25 12:30:00,1729,1730,24999.65,24988.8,24983.55,24962.35,0.14920208882925526,17,5,70.3,Very Strong
resistance,24683.5,2025-09-30 11:15:00,1802,1803,24670.7,24683.5,24666.9,24647.15,0.1472643668847552,14,7,70.29,Very Strong
