type,price,datetime,timeframe,candle_idx,retracement_pct,num_hits,num_reversals,strength_score,strength
support,17233.65,2023-03-31 11:15:00,1h,2,0.261407188842754,0,0,0.52,Weak
support,17306.55,2023-03-31 13:00:00,15m,16,0.05835940727644841,2,2,30.12,Moderate
support,17325.8,2023-04-03 09:30:00,15m,28,0.18815869974259306,0,0,0.38,Weak
support,17344.15,2023-03-31 14:45:00,15m,23,0.12943845619414668,6,5,60.26,Strong
support,17379.3,2023-04-03 15:00:00,15m,50,0.14269849763799045,0,0,0.29,Weak
support,17454.35,2023-04-05 09:45:00,15m,55,0.10799600099689868,0,0,0.22,Weak
support,17478.15,2023-04-05 11:15:00,1h,16,0.18136930968092782,14,7,70.36,Very Strong
support,17499.05,2023-04-05 12:30:00,15m,66,0.15229398167329916,0,0,0.3,Weak
support,17517.15,2023-04-05 14:00:00,15m,72,0.11217578201932285,0,0,0.22,Weak
support,17552.0,2023-04-06 14:15:00,1h,26,0.22419097538741195,19,6,70.45,Very Strong
support,17574.35,2023-04-17 10:15:00,1h,57,0.37896138406258095,53,8,70.76,Very Strong
support,17594.8,2023-04-06 12:00:00,15m,90,0.042626230477186444,68,5,70.09,Very Strong
support,17612.55,2023-04-19 10:15:00,1h,71,0.21036136164268815,95,6,70.42,Very Strong
support,17631.05,2023-04-19 11:30:00,15m,270,0.09188335351553498,19,3,70.18,Very Strong
support,17651.15,2023-04-18 10:15:00,1h,64,0.17364307707995125,73,7,70.35,Very Strong
support,17669.0,2023-04-11 09:30:00,15m,132,0.19808704510724998,38,5,70.4,Very Strong
support,17700.45,2023-04-11 14:30:00,15m,152,0.06412266354809366,14,4,70.13,Very Strong
support,17729.65,2023-04-13 12:15:00,1h,52,0.11477947957234656,31,3,70.23,Very Strong
support,17754.3,2023-04-12 12:15:00,15m,169,0.11968931470122732,16,6,70.24,Very Strong
support,17778.5,2023-04-13 14:15:00,15m,203,0.13049469865287133,1,0,5.26,Weak
support,19334.55,2023-10-05 00:00:00,1d,14,1.0967413257613923,10,7,72.19,Very Strong
support,19355.6,2023-10-04 12:00:00,15m,350,0.0780135981318181,0,0,0.16,Weak
support,19375.7,2023-10-04 10:15:00,1h,92,0.22992717682457547,19,5,70.46,Very Strong
support,19480.9,2023-10-10 00:00:00,1d,17,1.0810588833164718,11,7,72.16,Very Strong
support,19503.25,2023-10-09 13:15:00,1h,116,0.05101713816928321,40,5,70.1,Very Strong
support,19525.75,2023-10-20 13:15:00,1h,179,0.07835806563127805,71,4,70.16,Very Strong
support,19545.3,2023-10-05 11:45:00,15m,375,0.05858185855423415,51,5,70.12,Very Strong
support,19589.7,2023-10-06 10:15:00,1h,106,0.26927415937967397,30,6,70.54,Very Strong
support,19610.35,2023-10-10 11:00:00,15m,450,0.06348688320198634,13,5,70.13,Very Strong
support,19635.15,2023-10-19 12:00:00,15m,636,0.13317952753097287,0,0,0.27,Weak
support,19661.5,2023-10-10 13:00:00,15m,458,0.07629122905170002,34,5,70.15,Very Strong
support,19681.25,2023-10-13 12:15:00,15m,533,0.14455382661162644,15,5,70.29,Very Strong
support,19713.05,2023-10-13 13:00:00,15m,536,0.1567489556410675,14,5,70.31,Very Strong
support,19743.6,2023-10-13 14:00:00,15m,540,0.167142770315444,16,5,70.33,Very Strong
support,19773.65,2023-10-12 10:15:00,1h,134,0.25690755121082487,62,5,70.51,Very Strong
support,19793.7,2023-10-12 13:15:00,1h,137,0.04723725225702392,74,6,70.09,Very Strong
support,19814.5,2023-10-17 10:30:00,15m,578,0.09286128845038459,6,1,40.19,Moderate
support,21758.4,2025-04-07 00:00:00,1d,134,2.204206191631731,1,1,19.41,Weak
support,21796.9,2025-04-07 13:15:00,1h,936,0.9212319183003054,3,1,26.84,Weak
support,21850.2,2024-04-19 11:15:00,1h,275,0.3844358404042068,3,2,35.77,Moderate
support,21898.3,2025-04-07 10:15:00,15m,1565,0.48793741979972044,0,0,0.98,Weak
support,21962.0,2024-04-18 15:15:00,1h,272,0.3813404972224752,13,4,70.76,Very Strong
support,21996.5,2025-04-07 14:45:00,15m,1583,0.2273088900506899,0,0,0.45,Weak
support,22037.4,2024-05-21 00:00:00,1d,52,2.1334186428525954,3,1,29.27,Weak
support,22079.7,2024-04-16 00:00:00,1d,37,0.4427143484739376,9,5,70.89,Very Strong
support,22106.6,2024-05-16 11:15:00,1h,341,0.8273547266427287,20,6,71.65,Very Strong
support,22149.95,2024-04-16 12:00:00,15m,974,0.08939072097227882,4,3,50.18,Strong
support,22174.55,2024-04-18 09:45:00,15m,991,0.14746635219204327,0,0,0.29,Weak
support,22198.35,2024-04-22 10:15:00,1h,281,0.38516376217151277,16,5,70.77,Very Strong
support,22222.8,2024-05-14 13:15:00,1h,329,0.12622171823532263,5,3,55.25,Strong
support,22257.5,2024-04-22 13:15:00,1h,284,0.15500393125912612,18,7,70.31,Very Strong
support,22283.75,2024-04-18 12:15:00,15m,1001,0.13148594828069454,2,2,30.26,Moderate
support,22307.45,2024-04-05 00:00:00,1d,31,0.9680622392967405,28,5,71.94,Very Strong
support,22342.2,2024-03-28 11:00:00,15m,684,0.1123434576720222,35,6,70.22,Very Strong
support,22368.75,2025-04-09 10:45:00,15m,1619,0.11086895780944074,0,0,0.22,Weak
support,22393.05,2024-04-02 13:15:00,1h,200,0.0935558130759353,76,7,70.19,Very Strong
support,22415.9,2024-04-02 09:30:00,15m,730,0.288188294915656,43,7,70.58,Very Strong
support,22441.45,2024-05-17 12:15:00,1h,349,0.14771772768692673,86,7,70.3,Very Strong
support,22465.9,2024-05-31 15:15:00,1h,420,0.3652201781366394,82,4,70.73,Very Strong
support,22489.95,2024-04-05 12:15:00,15m,819,0.06402859944107397,10,5,70.13,Very Strong
support,22517.15,2025-04-08 15:15:00,1h,945,0.13345383407757763,6,3,60.27,Strong
support,22545.65,2024-04-12 13:15:00,15m,927,0.1692122427164345,7,4,65.34,Strong
support,22586.6,2024-04-08 10:00:00,15m,836,0.17554656300639077,14,5,70.35,Very Strong
support,22609.75,2025-04-08 13:15:00,15m,1603,0.34299362000906364,0,0,0.69,Weak
support,22634.15,2024-04-08 14:15:00,1h,229,0.16346980116328644,41,8,70.33,Very Strong
support,22664.35,2024-04-08 14:45:00,15m,855,0.04721070756496758,31,6,70.09,Very Strong
support,22690.35,2024-04-10 10:30:00,15m,890,0.06456489212375065,7,4,65.13,Strong
support,22718.3,2024-04-10 14:15:00,15m,905,0.10740240246850097,3,3,45.21,Moderate
support,22762.0,2025-04-11 14:15:00,1h,958,0.3002811703716657,7,4,65.6,Strong
support,22807.8,2025-04-11 10:00:00,15m,1642,0.10917317759714422,2,2,30.22,Moderate
support,22846.1,2025-04-11 13:30:00,15m,1656,0.12693632611255312,0,0,0.25,Weak
support,22875.15,2025-04-04 14:00:00,15m,1554,0.15060010535448767,9,4,70.3,Very Strong
support,22908.25,2024-05-24 10:15:00,1h,380,0.223936791330631,13,4,70.45,Very Strong
support,22932.55,2024-05-27 10:15:00,1h,387,0.24528454096905927,12,5,70.49,Very Strong
support,23136.4,2025-04-02 00:00:00,1d,131,0.8402344357808379,12,6,71.68,Very Strong
support,23159.6,2025-04-03 09:15:00,1h,918,0.5095079362337864,20,5,71.02,Very Strong
support,23183.25,2025-04-02 09:45:00,15m,1485,0.2648463869388522,6,3,60.53,Strong
support,23211.4,2025-04-15 09:30:00,15m,1666,0.4288840828213691,0,0,0.86,Weak
support,23238.95,2025-04-02 12:15:00,1h,914,0.2095619638580948,42,4,70.42,Very Strong
support,23269.5,2025-04-02 12:30:00,15m,1496,0.07155289112358004,28,4,70.14,Very Strong
support,23298.15,2025-04-15 10:00:00,15m,1668,0.05987599873808474,2,2,30.12,Moderate
support,23335.15,2024-06-14 10:15:00,1h,443,0.4874620475977227,23,5,70.97,Very Strong
support,23366.25,2024-06-13 14:15:00,1h,440,0.1401594179639437,6,2,50.28,Strong
support,23413.2,2024-06-19 11:15:00,1h,458,0.6114072403601294,3,2,36.22,Moderate
support,23442.7,2024-06-20 10:15:00,1h,464,0.3879672563313984,10,5,70.78,Very Strong
support,23484.0,2025-03-28 12:45:00,15m,1445,0.18395503321410633,0,0,0.37,Weak
support,23513.5,2024-06-19 13:15:00,1h,460,0.20052310374891638,22,5,70.4,Very Strong
support,23559.8,2025-03-27 11:00:00,15m,1412,0.1829387346242421,9,3,70.37,Very Strong
