close,datetime,exchange_code,high,low,open,stock_code,volume,symbol
17210.35,2023-03-31 09:10:00,NSE,17210.35,17210.35,17210.35,NIFTY,0,
17246.3,2023-03-31 09:15:00,NSE,17262.55,17209.45,17210.35,NIFTY,0,
17270.9,2023-03-31 09:20:00,NSE,17274.95,17246.2,17246.2,NIFTY,0,
17269.9,2023-03-31 09:25:00,NSE,17276.3,17255.2,17270.75,NIFTY,0,
17253.85,2023-03-31 09:30:00,NSE,17278.55,17253.3,17270.45,NIFTY,0,
17263.5,2023-03-31 09:35:00,NSE,17268.6,17254.3,17254.3,NIFTY,0,
17278.25,2023-03-31 09:40:00,NSE,17289.1,17264.0,17264.0,NIFTY,0,
17274.7,2023-03-31 09:45:00,NSE,17282.15,17273.1,17277.9,NIFTY,0,
17279.45,2023-03-31 09:50:00,NSE,17281.6,17266.45,17274.2,NIFTY,0,
17261.55,2023-03-31 09:55:00,NSE,17281.1,17261.1,17279.75,NIFTY,0,
17277.35,2023-03-31 10:00:00,NSE,17281.85,17259.95,17261.65,NIFTY,0,
17265.75,2023-03-31 10:05:00,NSE,17277.35,17259.1,17277.35,NIFTY,0,
17256.9,2023-03-31 10:10:00,NSE,17269.05,17253.65,17265.25,NIFTY,0,
17263.35,2023-03-31 10:15:00,NSE,17269.6,17256.35,17256.35,NIFTY,0,
17262.55,2023-03-31 10:20:00,NSE,17265.75,17253.15,17262.35,NIFTY,0,
17256.25,2023-03-31 10:25:00,NSE,17265.15,17253.3,17262.0,NIFTY,0,
17240.85,2023-03-31 10:30:00,NSE,17257.25,17239.95,17257.25,NIFTY,0,
17244.4,2023-03-31 10:35:00,NSE,17245.75,17234.9,17240.5,NIFTY,0,
17248.2,2023-03-31 10:40:00,NSE,17250.55,17233.65,17243.45,NIFTY,0,
17237.2,2023-03-31 10:45:00,NSE,17248.15,17235.55,17248.15,NIFTY,0,
17252.1,2023-03-31 10:50:00,NSE,17253.4,17235.55,17237.55,NIFTY,0,
17249.4,2023-03-31 10:55:00,NSE,17252.25,17239.15,17252.25,NIFTY,0,
17239.75,2023-03-31 11:00:00,NSE,17250.4,17237.6,17249.9,NIFTY,0,
17251.7,2023-03-31 11:05:00,NSE,17257.9,17238.35,17240.15,NIFTY,0,
