datetime,timeframe,candle_close,candle_high,resistance_level,resistance_strength,resistance_timeframe,resistance_hits,resistance_reversals,rejection_distance,rejection_pct,close_below_pct,upper_wick,wick_ratio,price_change_pct,candle_range,body_size,rsi,volume_ratio,volatility,momentum_5,max_drop,next_candle_lower,next_3_lower,next_5_lower,drop_10,drop_20,drop_30,drop_50,drop_100,time_to_10,time_to_20,time_to_30,time_to_50
2023-03-31 14:45:00,15-minute,17366.6,17376.95,17373.7,Strong,15m,9,2,3.25,0.018706435589425394,0.04086636697998804,10.350000000002183,0.40892927696572423,0.04551032047329476,25.299999999999272,7.899999999997817,89.79289940828434,0.0,44.040338193044924,22.25,53.69999999999709,True,False,False,True,True,True,True,False,30.0,30.0,75.0,180.0
2023-03-31 15:00:00,15-minute,17363.2,17381.3,17373.7,Strong,15m,9,2,7.599999999998545,0.04374428014757101,0.06043617651968205,13.299999999999272,0.5482275350370681,-0.02763703362505339,24.25,4.799999999999272,85.9131859131877,0.0,44.61461076173299,8.25,50.29999999999927,True,False,False,True,True,True,True,False,15.0,15.0,60.0,180.0
2023-04-03 09:15:00,15-minute,17344.45,17427.95,17373.7,Strong,15m,9,2,54.25,0.3122535786850239,0.16835792030482855,0.0,0.0,-0.47911544387033467,90.5,83.5,60.21924934968418,0.0,45.346132182880666,-13.299999999999272,31.549999999999272,False,False,False,True,True,True,False,False,15.0,105.0,135.0,
2023-04-03 09:15:00,15-minute,17344.45,17427.95,17427.95,Moderate,1d,5,2,0.0,0.0,0.47911544387033467,0.0,0.0,-0.47911544387033467,90.5,83.5,60.21924934968418,0.0,45.346132182880666,-13.299999999999272,31.549999999999272,False,False,False,True,True,True,False,False,15.0,105.0,135.0,
2023-04-03 10:00:00,15-minute,17367.9,17381.9,17373.7,Strong,15m,9,2,8.200000000000728,0.04719777594870826,0.033383792744201134,7.75,0.3194558944765045,-0.035972982850959616,24.25,6.25,59.949524364201295,0.0,36.26103606961605,11.05000000000291,55.0,True,True,True,True,True,True,True,False,15.0,30.0,30.0,75.0
2023-04-03 10:15:00,15-minute,17362.7,17378.45,17373.7,Strong,15m,9,2,4.75,0.027340175092237115,0.06331408968728595,10.25,0.37878787878788894,-0.03166706970209924,27.049999999999272,5.5,57.31731337404012,0.0,32.98463866950486,-65.25,49.79999999999927,True,True,True,True,True,True,False,False,15.0,15.0,30.0,
2023-04-03 11:15:00,15-minute,17317.9,17330.15,17323.95,Weak,15m,2,0,6.200000000000728,0.035788604792791064,0.03492275145102169,5.900000000001455,0.4038329911020242,-0.03665382339782989,14.600000000002183,6.349999999998545,41.9811320754717,0.0,24.697726695939032,-50.0,5.0,False,False,False,False,False,False,False,False,,,,
2023-04-03 12:00:00,15-minute,17351.65,17363.6,17353.75,Weak,15m,0,0,9.849999999998545,0.056760066268089285,0.01210113087948452,11.94999999999709,0.4702872884690325,0.04122344258987838,25.399999999997817,7.150000000001455,47.96547472256488,0.0,22.826751820707354,12.80000000000291,15.5,False,True,True,True,False,False,False,False,60.0,,,
2023-04-03 12:30:00,15-minute,17352.7,17358.5,17353.75,Weak,15m,0,0,4.75,0.02737160556075776,0.00605056543974226,1.6500000000014552,0.10604113110549694,-0.023909868438096876,15.549999999999272,4.149999999997817,32.576985413289876,9.999988129709983,22.798643051724685,34.79999999999927,16.549999999999272,True,True,True,True,False,False,False,False,30.0,,,
2023-04-03 12:45:00,15-minute,17344.55,17362.35,17353.75,Weak,15m,0,0,8.599999999998545,0.04955701217315303,0.05301447813873502,9.399999999997817,0.5037513397641434,-0.04840675504742107,18.649999999997817,8.400000000001455,50.03556187766663,4.641489545350635,22.871387549097225,13.75,8.399999999997817,False,False,False,False,False,False,False,False,,,,
