type,price,datetime,prev_candle_idx,curr_candle_idx,prev_low,curr_low,prev_close,curr_close,retracement_pct,num_hits,num_reversals,strength_score,strength
support,24962.05,2024-10-16 14:00:00,1345,1346,24962.05,24968.6,24969.1,25014.1,0.20851652808963717,23,3,70.42,Very Strong
support,17591.35,2023-04-19 15:00:00,283,284,17591.35,17593.65,17596.1,17628.6,0.211751798469134,33,4,70.42,Very Strong
support,22373.05,2024-04-04 10:15:00,784,785,22376.1,22373.05,22376.1,22419.9,0.20940372457041925,30,6,70.42,Very Strong
support,24767.45,2024-10-07 15:15:00,1168,1169,24767.45,24775.2,24778.15,24819.0,0.2081360818332096,38,4,70.42,Very Strong
support,17574.35,2023-04-17 10:00:00,211,212,17581.8,17574.35,17583.25,17610.3,0.2045594858415858,17,6,70.41,Very Strong
support,17676.15,2023-04-17 15:00:00,231,232,17676.15,17685.5,17685.9,17711.3,0.1988555200085868,15,5,70.4,Very Strong
support,24990.95,2024-10-10 11:45:00,1232,1233,24990.95,25004.0,25004.95,25041.05,0.20047257107072175,44,5,70.4,Very Strong
support,17669.0,2023-04-11 09:30:00,131,132,17669.0,17697.55,17697.45,17704.0,0.19808704510724998,37,6,70.4,Very Strong
support,22389.15,2024-04-02 11:00:00,735,736,22400.5,22389.15,22400.75,22432.4,0.19317392576314865,40,5,70.39,Very Strong
support,17325.8,2023-04-03 09:30:00,27,28,17337.45,17325.8,17344.45,17358.4,0.18815869974259306,12,6,70.38,Very Strong
support,23559.8,2025-03-27 11:00:00,1411,1412,23559.8,23576.2,23576.3,23602.9,0.1829387346242421,18,4,70.37,Very Strong
support,23277.05,2025-04-01 10:30:00,1461,1462,23297.7,23277.05,23307.2,23319.95,0.1843017048981785,32,4,70.37,Very Strong
support,23653.65,2025-03-25 12:30:00,1365,1366,23653.65,23665.55,23680.9,23696.9,0.18284704474785074,14,4,70.37,Very Strong
support,25278.9,2024-10-04 11:30:00,1127,1128,25292.85,25278.9,25306.45,25326.05,0.1865191918952083,34,5,70.37,Very Strong
support,22429.0,2024-04-05 09:30:00,807,808,22429.0,22441.95,22469.5,22470.85,0.1865887912969751,8,5,70.37,Very Strong
support,23251.0,2025-04-02 10:45:00,1488,1489,23251.0,23264.3,23264.6,23292.7,0.17934712485484808,30,5,70.36,Very Strong
support,24880.55,2024-10-07 12:00:00,1155,1156,24889.95,24880.55,24903.95,24925.85,0.18206993012613978,16,5,70.36,Very Strong
support,19778.3,2023-10-12 10:30:00,499,500,19786.05,19778.3,19788.7,19813.85,0.179742445002853,20,3,70.36,Very Strong
support,19694.75,2023-10-16 09:45:00,548,549,19694.75,19710.55,19715.3,19730.05,0.17923558308685955,12,5,70.36,Very Strong
support,25816.35,2025-10-20 10:30:00,2136,2137,25826.5,25816.35,25832.9,25862.75,0.17973106190457389,15,7,70.36,Very Strong
support,25796.95,2024-09-30 14:45:00,1062,1063,25797.35,25796.95,25803.35,25842.95,0.17831565359470788,25,4,70.36,Very Strong
support,22679.45,2024-04-10 09:30:00,885,886,22679.45,22702.3,22715.9,22720.75,0.1821031815145397,19,7,70.36,Very Strong
support,17598.25,2023-04-10 14:30:00,125,126,17598.25,17601.45,17611.45,17628.8,0.17359680650064224,50,7,70.35,Very Strong
support,17608.85,2023-04-10 11:00:00,111,112,17608.85,17621.55,17623.35,17640.0,0.17689968396574143,55,5,70.35,Very Strong
