datetime,timeframe,event_type,rsi_at_event,rsi_1_before,rsi_3_before,rsi_5_before,rsi_change_1,rsi_change_3,return_1,return_3,return_5,return_10,return_20,success_10,success_20,success_50,price
2023-03-31 13:45:00,15-minute,breakout,84.24705065926413,82.59411106969665,65.02347417840397,81.11790878754161,1.652939589567481,19.22357648086016,0.06111500286838378,0.2211744188396647,0.18877455295935874,0.5559418274523553,,True,True,True,17354.95
2023-03-31 14:00:00,15-minute,breakout,89.67582804792015,84.24705065926413,76.66666666666666,65.87786259541929,5.428777388656016,13.009161381253492,0.033707962281637194,0.20345674451893725,0.28478179245010615,0.49376284333304543,0.8741832676267602,True,True,True,17360.8
2023-03-31 14:15:00,15-minute,breakout,89.33380581148162,89.67582804792015,82.59411106969665,65.02347417840397,-0.3420222364385239,6.739694741784973,-0.0023040412884034467,0.09253733924881047,0.25264701890954644,0.48185030517184924,0.524033144372571,True,True,True,17360.4
2023-03-31 14:30:00,15-minute,breakout,90.13228459063323,89.33380581148162,84.24705065926413,76.66666666666666,0.7984787791516084,5.8852339313691004,-0.015264625239053142,0.016133725536504606,0.18585268577333558,0.4574996961576927,0.46011604184450494,True,True,True,17357.75
2023-03-31 15:15:00,15-minute,breakout,81.42744479495262,85.9131859131877,90.13228459063323,89.67582804792015,-4.485741118235083,-8.704839795680613,-0.03657159970513746,-0.005185003816743361,-0.022752407723147794,0.2619645900124201,0.5829771821803664,True,True,True,17356.85
2023-04-03 09:15:00,15-minute,breakout,60.21924934968418,88.00611153552359,85.9131859131877,90.13228459063323,-27.786862185839404,-25.69393656350352,-0.4791154438703371,-0.10798700700331842,-0.07662283418069515,0.10908744599740228,0.5510336591417531,True,True,True,17344.45
2023-04-03 09:30:00,15-minute,breakout,57.222777222777516,60.21924934968418,81.42744479495262,89.79289940828434,-2.996472126906667,-24.204667572175104,0.08042918628150542,0.008930191826306277,-0.04721707185054713,0.08100620663213931,0.6546635354150343,True,True,True,17358.4
2023-04-03 09:45:00,15-minute,breakout,62.36075825679116,57.222777222777516,88.00611153552359,85.9131859131877,5.137981034013642,-25.64535327873243,0.09419070882108471,-0.3052567857952382,0.0665199963140406,0.114088487722519,0.6706645807984302,True,True,True,17374.75
2023-04-03 10:30:00,15-minute,breakout,48.749519045786855,57.31731337404012,62.36075825679116,60.21924934968418,-8.567794328253264,-13.611239211004303,-0.14312290139207873,-0.21237715650586075,-0.03805251824071654,-0.1146461955034539,0.3423289946581587,True,True,True,17337.85
2023-04-03 10:45:00,15-minute,breakout,46.78385936875705,48.749519045786855,59.949524364201295,57.222777222777516,-1.9656596770298052,-13.165664995444246,0.005767727832450831,-0.16726259363539775,-0.11262558761178099,-0.15978948095769496,0.28572337465910813,True,True,True,17338.85
2023-04-03 11:00:00,15-minute,breakout,42.95366795366795,46.78385936875705,57.31731337404012,62.36075825679116,-3.8301914150890966,-14.363645420372166,-0.08391559993886633,-0.22116375909277952,-0.2903638901279204,-0.22403704386289025,0.011834490323137103,True,True,True,17324.3
2023-04-03 11:30:00,15-minute,breakout,45.10445049954567,41.9811320754717,46.78385936875705,57.31731337404012,3.1233184240739718,-1.6794088692113789,0.07448940113985447,-0.0464275312376472,-0.18372718528800736,-0.5574379086467518,0.08171326440158388,True,True,True,17330.8
2023-04-03 11:30:00,15-minute,breakout,45.10445049954567,41.9811320754717,46.78385936875705,57.31731337404012,3.1233184240739718,-1.6794088692113789,0.07448940113985447,-0.0464275312376472,-0.18372718528800736,-0.5574379086467518,0.08171326440158388,True,True,True,17330.8
2023-04-03 11:45:00,15-minute,breakout,46.208615165539435,45.10445049954567,42.95366795366795,48.749519045786855,1.104164665993764,3.2549472118714817,0.0836660742723927,0.12121701886944614,0.0429695723518142,0.004900703106747173,0.1139934951559951,True,True,True,17345.3
2023-04-03 12:00:00,15-minute,breakout,47.96547472256488,46.208615165539435,41.9811320754717,46.78385936875705,1.756859557025443,5.984342647093179,0.03660934085891743,0.1948850611217301,0.07382265836548552,-0.038886072449073605,0.042088634050885254,True,True,True,17351.65
2023-04-03 12:15:00,15-minute,breakout,50.017680339462906,47.96547472256488,45.10445049954567,42.95366795366795,2.0522056168980285,4.913229839917236,0.030544645610075527,0.1508874373947089,0.1884636031470377,-0.10244751723046397,0.011524089668935034,True,True,True,17356.95
2023-04-03 12:15:00,15-minute,breakout,50.017680339462906,47.96547472256488,45.10445049954567,42.95366795366795,2.0522056168980285,4.913229839917236,0.030544645610075527,0.1508874373947089,0.1884636031470377,-0.10244751723046397,0.011524089668935034,True,True,True,17356.95
2023-04-03 12:30:00,15-minute,breakout,32.576985413289876,50.017680339462906,46.208615165539435,41.9811320754717,-17.44069492617303,-13.631629752249559,-0.024485868773027608,0.04266285391432145,0.20094815191218363,-0.08751777704846253,-0.04665683609049731,True,True,True,17352.7
2023-04-03 12:45:00,15-minute,breakout,50.03556187766663,32.576985413289876,47.96547472256488,45.10445049954567,17.458576464376755,2.070087155101753,-0.04696675445320375,-0.04091829883614562,0.07933851870658426,-0.10453443300869614,-0.0912997396373516,True,True,True,17344.55
2023-04-03 13:00:00,15-minute,breakout,46.1066359800531,50.03556187766663,50.017680339462906,46.208615165539435,-3.9289258976135315,-3.911044359409807,0.021332349354707958,-0.05012401372361808,0.017007489060438807,0.05998436945757746,-0.05473059584335527,True,True,True,17348.25
