datetime,timeframe,candle_close,candle_low,support_level,support_strength,support_timeframe,support_hits,support_reversals,breakdown_distance,breakdown_pct,close_below_pct,lower_wick,price_change_pct,candle_range,body_size,rsi,volume_ratio,volatility,momentum_5,max_drop,next_candle_lower,next_3_lower,next_5_lower,drop_10,drop_20,drop_30,drop_50,drop_100,time_to_10,time_to_20,time_to_30,time_to_50
2024-08-13 09:15:00,1-hour,24330.1,24300.0,24832.6,Very Strong,1h,26,5,502.5,2.02354968871564,2.02354968871564,-30.099999999998545,-0.086033251132911,58.0,20.950000000000728,24.549846288942888,0.0,137.08804458308893,-606.2000000000007,229.9499999999971,True,True,True,True,True,True,True,True,60.0,60.0,60.0,60.0
2024-07-29 12:15:00,1-hour,24833.05,24791.8,24866.5,Very Strong,1h,21,5,33.45000000000073,0.13451832787083315,0.13451832787083315,-41.25,-0.2951030953704949,121.15000000000146,73.5,81.29121832681179,0.0,227.08334713610742,-16.0,732.8999999999978,True,False,False,True,True,True,True,True,60.0,60.0,60.0,120.0
2025-03-25 09:15:00,1-hour,23770.4,23665.65,24896.25,Very Strong,15m,17,5,1125.8499999999985,4.522166993021032,4.522166993021032,-87.19999999999709,0.07388587053765301,203.5,17.55000000000291,8.037230568248859,0.0,292.93690369526365,-1177.6499999999978,1973.5,True,True,True,True,True,True,True,True,60.0,60.0,60.0,60.0
2025-03-25 09:15:00,1-hour,23770.4,23665.65,24923.75,Very Strong,15m,21,6,1153.3499999999985,4.627513917448211,4.627513917448211,-87.19999999999709,0.07388587053765301,203.5,17.55000000000291,8.037230568248859,0.0,292.93690369526365,-1177.6499999999978,1973.5,True,True,True,True,True,True,True,True,60.0,60.0,60.0,60.0
2025-03-25 09:15:00,1-hour,23770.4,23665.65,24949.3,Very Strong,15m,37,6,1178.8999999999978,4.725182670455676,4.725182670455676,-87.19999999999709,0.07388587053765301,203.5,17.55000000000291,8.037230568248859,0.0,292.93690369526365,-1177.6499999999978,1973.5,True,True,True,True,True,True,True,True,60.0,60.0,60.0,60.0
2024-10-11 10:15:00,1-hour,24952.5,24931.6,24979.5,Very Strong,1h,98,6,27.0,0.10808863267879662,0.10808863267879662,-20.900000000001455,-0.27895117555140525,92.75,69.79999999999927,29.22457359437658,0.0,68.39683987194968,-82.90000000000146,3155.5999999999985,True,False,False,True,True,True,True,True,60.0,60.0,60.0,237540.0
2024-10-11 10:15:00,1-hour,24952.5,24931.6,25005.75,Very Strong,15m,70,7,53.25,0.212951021265109,0.212951021265109,-20.900000000001455,-0.27895117555140525,92.75,69.79999999999927,29.22457359437658,0.0,68.39683987194968,-82.90000000000146,3155.5999999999985,True,False,False,True,True,True,True,True,60.0,60.0,60.0,237540.0
2024-10-10 14:15:00,1-hour,24998.55,24982.4,25031.4,Very Strong,15m,94,6,32.85000000000218,0.1312351686282117,0.1312351686282117,-16.149999999997817,-0.08653008369238237,55.14999999999782,21.650000000001455,49.167114454501736,0.0,88.39604718772874,-118.40000000000146,3201.649999999998,False,True,True,True,True,True,True,True,60.0,1140.0,1140.0,1140.0
2025-10-08 10:15:00,1-hour,25042.65,25041.55,25085.9,Very Strong,1h,121,4,43.25,0.17240760746076478,0.17240760746076478,-1.1000000000021828,-0.4203059047611358,111.29999999999927,105.69999999999709,52.46176964541089,0.0,117.40107751018255,-145.4499999999971,34.10000000000218,False,False,True,True,True,True,False,False,60.0,60.0,120.0,
2025-10-14 11:15:00,1-hour,25118.35,25101.7,25153.6,Very Strong,1h,90,5,35.25,0.14013898606958847,0.14013898606958847,-16.649999999997817,-0.21967414339995553,72.25,55.30000000000291,22.713241267159262,0.0,57.447664058996985,-89.15000000000146,57.79999999999927,True,False,False,True,True,True,True,False,60.0,60.0,60.0,60.0
